WordID,ShortWordName,English,Human,Comments,Grok,ChatGPT,Gemini
11,Common,Common,Common,Basic tools common to all activities.,,,
12,2DGeneral,2D Basic,2D Basic,Simple 2D Dumb Drawings.,,,
13,2DIntelligent,2D Intelligent,2D Intelligent,"P&ID, PFD, SLD, Circuit Diagraom, Interlocs etc.",,,
14,3DGeneral,3D Basic,3D Basic,"Primitives, Groupings, Templating etc.",,,
15,3DIntelligent,3D Inteligent,3D Inteligent,"Pipes, Beam/Column, R/f, Wires etc.",,,
16,Simulation,Simulation,Simulation,"Stress Analsys, Thermal Analysis, CFD etc.",,,
17,CodeChecking,Design Codes,Design Codes,Checking compliance with Design Codes.,,,
18,Documentation,Documentation,Documentation,"Specifications, Writeups, Calculation Sheets, PPT !!! Etc.",,,
19,3Dto2D,3D to 2D,3D to 2D,Drawing Extraction,,,
20,4DTime,4D Time,4D Time,"Timeline Management, Visulization etc.",,,
21,5DCost,5D Cost,5D Cost,"Cost Estimate, BOM etc.",,,
22,Interop,Interop,Interop,File Format Interoperability,,,
23,Extension,Extension,Extension,Software Extensions / Addons,,,
51,ProjectOrganization,Project Organization,Project Organization,,,,
52,View,View,View,,,,
53,Select,Select,Select,,,,
54,Create2DShapes,Create 2D Shapes,Create 2D Shapes,,,,
55,Edit,Edit,Edit,,,,
56,ProcessEquipment,Process Equipments,Process Equipments,,,,
57,Basic,Basic,Basic,,,,
58,Concrete,Concrete,Concrete,,,,
59,Reinforcement,Reinforcement,Reinforcement,,,,
60,SteelFRP Glass,"Steel, FRP, Glass","Steel, FRP, Glass",,,,
61,Equipments,Equipments,Equipments,,,,
62,Piping,Piping,Piping,,,,
63,LC,Loads & Combinations,Loads & Combinations,,,,
64,Supports,Supports,Supports,,,,
65,AnalysisTypes,Analysis Types,Analysis Types,,,,
66,IndianBIS,Indian ( BIS ),Indian ( BIS ),,,,
67,ASME,ASME,ASME,,,,
68,DrawingExtraction,Drawing Extraction,Drawing Extraction,,,,
69,ImportExport,Import & Export,Import & Export,,,,
70,ActiveExtensions,All Active Extensions,All Active Extensions,,,,
99,Unknown,Unknown,Unknown,,,,
1001,ProjectOpen,Project Open,Project Open,Open an existing project,,,
1003,ProjectSave,Project Save,Project Save,Save current project,,,
1005,ProjectClose,Project Close,Project Close,Close current project,,,
1007,ViewTree,View Tree,View Tree,Toggle tree view,,,
1009,View Perspective Iso Dropdown,Perspective View,Perspective View,Dropdown for perspective/isometric views,,,
1011,ViewMaxZoom,Max Zoom,Max Zoom,Zoom to maximum,,,
1013,ViewRotate,Rotate,Rotate,Rotate view,,,
1015,ViewPan,Pan,Pan,Pan view,,,
1017,SelectGeneral,Select,Select,General selection tool,,,
1019,SelectPipes,Select Pipes,Select Pipes,Select pipe elements,,,
1021,SelectFittings,Select Fittings,Select Fittings,Select pipe fittings,,,
1023,CreateLine,Line,Line,Create a line,,,
1025,CreatePolyline,Polyline,Polyline,Create a polyline,,,
1027,CreateCircle,Circle,Circle,,,,
1029,CreateArc,Arc,Arc,Create an arc,,,
1031,CreateFolder,Folder,Folder,Create a folder,,,
1033,CreateGrid,Grid,Grid,Create grid system,,,
1035,VerticalVessel,Vertical Vessel,Vertical Vessel,Create vertical vessel equipment,,,
1037,CreatePiping,Piping,Piping,Create piping system,,,
1039,LoadCase,Load Case,Load Case,Define load case,,,
1041,CodeIS456,IS456,IS456,Indian concrete design code,,,
1043,GeneralDrawing,Drawing,Drawing,Create general drawing,,,
1045,ImportSTD,Import STD,Import STD,Import standard file,,,
1047,ImportCII,Import CII,Import CII,Import CII format,,,
1049,ImportDXF,Import DXF,Import DXF,Import DXF file,,,
1051,ImportDWG,Import DWG,Import DWG,Import DWG file,,,
1053,ExportSTD,Export STD,Export STD,Export standard file,,,
1055,ExportDWG,Export DWG,Export DWG,Export DWG file,,,
